username,repo_name,metrics
vidhyavarshanyjs,VidhyaVarshanyJS/adventofcode,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/adventofcode""},""commit_frequency"":{""0"":2},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0}}"
vidhyavarshanyjs,VidhyaVarshanyJS/Brand-Perception,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/Brand-Perception""},""commit_frequency"":{""0"":11},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0}}"
vidhyavarshanyjs,VidhyaVarshanyJS/Amazing_Sites,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/Amazing_Sites""},""commit_frequency"":{""0"":325},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0}}"
cli99,cli99/AITemplate,"{""repo_name"":{""0"":""cli99\/AITemplate""},""commit_frequency"":{""0"":15},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0}}"
cli99,cli99/academic-kickstart,"{""repo_name"":{""0"":""cli99\/academic-kickstart""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":95},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
freeCodeCamp,freeCodeCamp/100DaysOfCode-discord-bot,"{""repo_name"":{""0"":""freeCodeCamp\/100DaysOfCode-discord-bot""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0.9647058824},""issue_resolution_time"":{""0"":2.2681992337},""active_days"":{""0"":176},""pr_lead_time"":{""0"":0.6991869919},""issue_reopen_rate"":{""0"":0.0},""pr_review_time"":{""0"":0.2307692308},""bus_factor"":{""0"":1}}"
Priyasri29,Priyasri29/Book_Recommendation_System,"{""repo_name"":{""0"":""Priyasri29\/Book_Recommendation_System""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":1},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
striver79,striver79/SDESheet,"{""repo_name"":{""0"":""striver79\/SDESheet""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0.0},""issue_resolution_time"":{""0"":29.5714285714},""active_days"":{""0"":44},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0.0303030303},""pr_review_time"":{""0"":38.5555555556},""bus_factor"":{""0"":1}}"
transitive-bullshit,transitive-bullshit/abstract-object-storage,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/adventofcode""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":1},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
transitive-bullshit,transitive-bullshit/bittorrent-protocol,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/adventofcode""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":1},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
vidhyavarshanyjs,VidhyaVarshanyJS/termux-dotfiles,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/termux-dotfiles""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":4},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
22-Kishore,22-Kishore/22-Kishore,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/termux-dotfiles""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":4},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
freeCodeCamp,freeCodeCamp/boilerplate-medical-data-visualizer,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/termux-dotfiles""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":4},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
vidhyavarshanyjs,VidhyaVarshanyJS/vidhyavarshany,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/vidhyavarshany""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":1},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
kottesh,kottesh/chips,"{""repo_name"":{""0"":""VidhyaVarshanyJS\/vidhyavarshany""},""commit_frequency"":{""0"":0},""pr_merge_rate"":{""0"":0},""issue_resolution_time"":{""0"":0},""active_days"":{""0"":1},""pr_lead_time"":{""0"":0},""issue_reopen_rate"":{""0"":0},""pr_review_time"":{""0"":0},""bus_factor"":{""0"":1}}"
